node_id,class,service_type,m,mu
100071,4,IS,,1.0187212661713938
100072,1,IS,,1.0137527991319881
100072,2,IS,,1.0137527991319881
100072,3,IS,,1.0137527991319881
100072,4,IS,,1.0137527991319881
100073,1,IS,,0.9900769160286975
100073,2,IS,,0.9900769160286975
100073,3,IS,,0.9900769160286975
100073,4,IS,,0.9900769160286975
100074,1,IS,,0.984313768186336
100074,2,IS,,0.984313768186336
100074,3,IS,,0.984313768186336
100074,4,IS,,0.984313768186336
100075,1,IS,,0.974829078583492
100075,2,IS,,0.974829078583492
100075,3,IS,,0.974829078583492
100075,4,IS,,0.974829078583492
100076,1,IS,,1.0163472467957728
100076,2,IS,,1.0163472467957728
100076,3,IS,,1.0163472467957728
100076,4,IS,,1.0163472467957728
100077,1,IS,,0.9873300952363487
100077,2,IS,,0.9873300952363487
100077,3,IS,,0.9873300952363487
100077,4,IS,,0.9873300952363487
100078,1,IS,,0.9770507713863189
100078,2,IS,,0.9770507713863189
100078,3,IS,,0.9770507713863189
100078,4,IS,,0.9770507713863189
100079,1,IS,,1.048874768600895
100079,2,IS,,1.048874768600895
100079,3,IS,,1.048874768600895
100079,4,IS,,1.048874768600895
100080,1,IS,,1.0294005809242868
100080,2,IS,,1.0294005809242868
100080,3,IS,,1.0294005809242868
100080,4,IS,,1.0294005809242868
100081,1,IS,,1.026348275203571
100081,2,IS,,1.026348275203571
100081,3,IS,,1.026348275203571
100081,4,IS,,1.026348275203571
100082,1,IS,,1.0101471924610277
100082,2,IS,,1.0101471924610277
100082,3,IS,,1.0101471924610277
100082,4,IS,,1.0101471924610277
100083,1,IS,,0.9593229547551027
100083,2,IS,,0.9593229547551027
100083,3,IS,,0.9593229547551027
100083,4,IS,,0.9593229547551027
100084,1,IS,,0.8995238280241578
100084,2,IS,,0.8995238280241578
100084,3,IS,,0.8995238280241578
100084,4,IS,,0.8995238280241578
100085,1,IS,,0.9173197017469079
100085,2,IS,,0.9173197017469079
100085,3,IS,,0.9173197017469079
100085,4,IS,,0.9173197017469079
100086,1,IS,,0.9186654829833214
100086,2,IS,,0.9186654829833214
100086,3,IS,,0.9186654829833214
100086,4,IS,,0.9186654829833214
100087,1,IS,,0.9202094481371081
100087,2,IS,,0.9202094481371081
100087,3,IS,,0.9202094481371081
100087,4,IS,,0.9202094481371081
100088,1,IS,,0.9078496666847978
100088,2,IS,,0.9078496666847978
100088,3,IS,,0.9078496666847978
100088,4,IS,,0.9078496666847978
100089,1,IS,,0.9487476981952316
100089,2,IS,,0.9487476981952316
100089,3,IS,,0.9487476981952316
100089,4,IS,,0.9487476981952316
100090,1,IS,,0.8809986425984384
100090,2,IS,,0.8809986425984384
100090,3,IS,,0.8809986425984384
100090,4,IS,,0.8809986425984384
100091,1,IS,,0.9546418770249216
100091,2,IS,,0.9546418770249216
100091,3,IS,,0.9546418770249216
100091,4,IS,,0.9546418770249216
100092,1,IS,,1.0019523547722022
100092,2,IS,,1.0019523547722022
