node_id,node_type,x_km,y_km,facility_id,service,population
100101,Region,34.974513,138.368218,,,173.0
100102,Region,34.973562,138.369133,,,268.0
100103,Region,34.971985,138.369401,,,302.0
100104,Region,34.970591,138.370172,,,216.0
100105,Region,34.96977,138.370317,,,258.0
100106,Region,34.968809,138.370343,,,198.0
100107,Region,34.976967,138.379007,,,55.0
100108,Region,34.97872,138.377823,,,567.0
100109,Region,34.977144,138.378178,,,74.0
100110,Region,34.976528,138.377677,,,116.0
100111,Region,34.975982,138.376367,,,268.0
100112,Region,34.976794,138.374626,,,243.0
100113,Region,34.977173,138.376364,,,111.0
100114,Region,34.97753,138.375385,,,120.0
100115,Region,34.977817,138.377494,,,170.0
100116,Region,34.978895,138.375497,,,670.0
100117,Region,34.977941,138.374484,,,103.0
100118,Region,34.978358,138.37339,,,117.0
100119,Region,34.978547,138.372408,,,20.0
100120,Region,34.977712,138.372517,,,212.0
100121,Region,34.977469,138.371074,,,147.0
100122,Region,34.976631,138.373511,,,206.0
100123,Region,34.982427,138.375746,,,350.0
100124,Region,34.981114,138.375304,,,207.0
100125,Region,34.98279,138.373952,,,253.0
100126,Region,34.980309,138.373773,,,279.0
100127,Region,34.979034,138.371953,,,127.0
100128,Region,34.978166,138.370249,,,157.0
100129,Region,34.976766,138.367893,,,249.0
100130,Region,34.976375,138.365013,,,561.0
100131,Region,34.979317,138.369639,,,703.0
100132,Region,34.986945,138.371884,,,1345.0
100133,Region,34.984198,138.372455,,,156.0
100134,Region,34.982478,138.371793,,,568.0
100135,Region,34.982498,138.369403,,,1087.0
100136,Region,34.981537,138.366779,,,1171.0
100137,Region,34.979631,138.362497,,,2264.0
100138,Region,34.985309,138.367702,,,832.0
100139,Region,34.985072,138.361952,,,808.0
100140,Region,34.988493,138.365671,,,1126.0
100141,Region,34.99263,138.3659,,,1321.0
100142,Region,34.995222,138.368168,,,1119.0
100143,Region,34.991246,138.370624,,,1861.0
100144,Region,34.989032,138.361297,,,729.0
100145,Region,34.98543,138.380845,,,187.0
100146,Region,34.984245,138.378544,,,217.0
100147,Region,34.985114,138.377867,,,294.0
100148,Region,34.98506,138.379074,,,139.0
100149,Region,34.985652,138.376725,,,267.0
100150,Region,34.986094,138.378934,,,155.0
100151,Region,34.98858,138.379001,,,1487.0
100152,Region,35.002778,138.377827,,,0.0
100153,Region,34.992867,138.381037,,,1140.0
100154,Region,34.99746,138.381495,,,1966.0
100155,Region,34.998085,138.377932,,,1642.0
100156,Region,35.001918,138.381261,,,1577.0
100157,Region,34.991855,138.376588,,,1348.0
100158,Region,34.985463,138.384616,,,1635.0
100159,Region,34.988626,138.3845,,,2012.0
100160,Region,34.99223,138.384996,,,1764.0
100161,Region,34.994671,138.388417,,,2005.0
100162,Region,34.99683,138.385958,,,1880.0
100163,Region,35.000391,138.384536,,,1793.0
100164,Region,35.003022,138.387323,,,1493.0
100165,Region,34.999131,138.391001,,,2353.0
100166,Region,35.003294,138.395981,,,463.0
100167,Region,35.004263,138.391604,,,1163.0
100168,Region,34.987879,138.396295,,,28.0
100169,Region,34.989688,138.394952,,,1202.0
100170,Region,34.992672,138.391973,,,1563.0
100171,Region,34.995831,138.393849,,,1549.0
100172,Region,34.992908,138.396047,,,1019.0
100173,Region,34.988479,138.397214,,,32.0
100174,Region,34.990722,138.398293,,,626.0
100175,Region,34.992243,138.401197,,,904.0
100176,Region,34.994417,138.400613,,,611.0
100177,Region,34.995853,138.400042,,,579.0
100178,Region,34.996407,138.404109,,,1149.0
100179,Region,34.998583,138.407262,,,1282.0
100180,Region,35.001506,138.405078,,,843.0
100181,Region,34.999801,138.410767,,,1068.0
100182,Region,35.002657,138.408155,,,1024.0
100183,Region,35.004639,138.4037,,,871.0
100184,Region,34.99786,138.397707,,,1385.0
100185,Region,35.00223,138.399891,,,55.0
100186,Region,34.999559,138.401906,,,1067.0
100187,Region,34.986796,138.396136,,,672.0
100188,Region,34.984905,138.395915,,,212.0
100189,Region,34.989431,138.40628,,,82.0
100190,Region,34.985958,138.399144,,,1685.0
100191,Region,34.988939,138.401517,,,465.0
