,300001,300003,300005,300007,300009,300011,300013,300015,300017,300019,300021,300023,300025,300027,300029,300031,300033,300035,300037,300039,300041,300043,300045,300047,300049,300051,300053,300055,300057,300059,300061,300063,300065,300067,300069,300071,300073,300075,300077,300079,300081,300083,300085,300087,300089,300091,300093,300095,300097,300099,300101,300103,300105,300107,300109,300111,300113,300115
100041,2.692,0.764,1.818,1.945,1.786,3.075,3.835,5.149,4.912,4.761,6.622,9.083,7.01,7.172,5.587,3.269,4.861,5.755,7.562,10.733,1.768,1.841,3.223,2.285,5.157,4.154,3.189,5.596,6.738,7.375,3.893,4.245,4.912,5.178,12.348,11.369,11.676,11.893,14.172,18.885,11.91,8.8,8.32,15.4,18.527,23.823,23.297,31.202,28.26,25.089,10.574,7.964,13.776,7.751,61.794,35.753,21.324,23.087
100042,2.363,0.545,2.209,2.335,1.457,2.746,3.507,4.821,4.583,4.432,6.293,8.754,6.681,7.849,5.977,3.659,5.251,6.145,7.952,11.123,1.44,1.512,2.894,1.68,4.552,3.826,2.86,5.267,6.409,7.046,4.617,3.64,4.307,4.573,12.019,11.04,11.348,11.564,13.843,18.556,11.582,8.472,7.992,15.071,18.199,23.494,22.969,30.873,27.932,24.76,10.245,8.354,14.166,8.142,62.184,36.143,21.714,23.477
100043,1.837,0.405,1.405,1.532,1.763,3.052,3.177,4.491,4.889,4.738,6.599,9.06,6.987,6.759,5.174,2.856,4.448,5.342,7.149,10.32,1.745,1.818,3.2,2.672,5.543,4.131,3.166,5.573,6.715,7.352,3.274,4.632,5.298,5.565,12.325,11.346,11.653,11.87,14.149,18.862,11.887,8.777,8.297,15.377,18.504,23.8,23.274,31.179,28.237,25.066,10.551,7.551,13.363,7.339,61.381,35.34,20.911,22.674
100044,1.561,1.02,1.538,1.256,1.689,2.979,3.739,5.053,4.815,4.664,6.525,8.986,6.913,6.484,5.307,2.581,4.173,5.067,6.873,10.044,1.672,1.744,3.126,2.598,5.47,4.058,3.093,5.499,6.641,7.278,3.613,4.558,5.225,5.491,12.251,11.272,11.58,11.796,14.075,18.788,11.814,8.704,8.224,15.303,18.431,23.726,23.201,31.106,28.164,24.992,10.477,7.684,13.496,7.471,61.514,35.064,20.636,22.807
100045,1.714,0.524,1.283,1.409,1.639,2.928,3.688,5.002,4.765,4.614,6.474,8.935,6.863,6.636,5.051,2.734,4.326,5.219,7.026,10.197,1.621,1.693,3.076,2.547,5.419,4.007,3.042,5.448,6.591,7.228,3.357,4.507,5.174,5.441,12.201,11.221,11.529,11.746,14.025,18.738,11.763,8.653,8.173,15.253,18.38,23.675,23.15,31.055,28.113,24.941,10.427,7.428,13.24,7.216,61.258,35.217,20.788,22.551
100046,1.612,0.662,1.18,1.306,1.74,3.03,2.952,4.266,4.866,4.716,6.576,9.037,6.964,6.534,4.949,2.631,4.223,5.117,6.923,10.095,1.723,1.795,3.178,2.649,5.521,4.109,3.144,5.55,6.692,7.329,3.255,4.609,5.276,5.542,12.303,11.323,11.631,11.848,14.126,18.839,11.865,8.755,8.275,15.355,18.482,23.777,23.252,31.157,28.215,25.043,10.528,7.326,13.138,7.113,61.156,35.115,20.686,22.449
100047,1.646,0.3,1.214,1.34,1.989,3.278,2.986,4.3,5.115,4.964,6.825,9.286,7.213,6.568,4.983,2.665,4.257,5.151,6.957,10.128,1.972,2.044,3.426,2.898,5.77,4.358,3.392,5.799,6.941,7.578,3.083,3.675,5.525,4.608,12.551,11.572,11.88,12.096,14.375,19.088,12.114,9.004,8.523,15.603,18.731,24.026,23.501,31.405,28.464,25.292,10.777,7.36,13.172,7.147,61.19,35.148,20.72,22.483
100048,2.071,0.148,1.639,1.766,1.849,3.138,3.899,5.212,4.975,4.824,6.685,9.146,7.073,6.993,5.408,3.09,4.682,5.576,7.383,10.554,1.831,1.904,3.286,2.072,4.943,4.217,3.252,5.659,6.801,7.438,3.08,4.032,4.698,4.965,12.411,11.432,11.739,11.956,14.235,18.948,11.973,8.863,8.383,15.463,18.59,23.886,23.36,31.265,28.323,25.152,10.637,7.785,13.597,7.572,61.615,35.574,21.145,22.908
100049,2.272,0.349,1.687,1.966,1.947,3.236,3.997,5.311,5.073,4.922,6.783,9.244,7.171,7.194,5.609,3.291,4.883,5.777,7.583,10.755,1.93,2.002,3.384,1.857,4.728,4.316,3.35,5.757,6.899,7.536,2.9,3.817,4.483,4.75,12.509,11.53,11.838,12.054,14.333,19.046,12.072,8.962,8.481,15.561,18.689,23.984,23.459,31.363,28.422,25.25,10.735,7.986,13.798,7.773,61.816,35.775,21.346,23.109
100050,2.885,0.432,1.55,2.027,1.979,3.268,4.029,5.343,5.105,4.954,6.815,9.276,7.203,7.254,5.184,3.352,4.944,5.837,7.968,10.815,1.962,2.034,3.416,1.609,4.481,4.348,3.382,5.789,6.931,7.568,2.763,3.569,4.236,4.503,12.541,11.562,11.87,12.086,14.365,19.078,12.104,8.994,8.513,15.593,18.721,24.016,23.491,31.395,28.454,25.282,10.767,7.561,13.374,7.349,61.391,35.835,21.406,22.685
100051,3.036,0.583,1.718,2.195,2.13,3.419,4.18,5.494,5.256,5.105,6.966,9.427,7.354,7.422,5.352,3.519,5.111,6.005,8.136,10.983,2.113,2.185,3.567,1.589,4.236,4.499,3.533,5.94,7.082,7.719,2.595,3.324,3.991,4.258,12.692,11.713,12.021,12.237,14.516,19.229,12.255,9.145,8.664,15.744,18.872,24.167,23.642,31.546,28.605,25.433,10.918,7.729,13.541,7.517,61.559,36.003,21.574,22.852
100052,3.169,0.782,1.669,2.362,2.263,3.552,4.313,5.626,5.389,5.238,7.099,9.56,7.487,7.589,5.304,3.687,5.279,6.172,8.087,10.785,2.246,2.184,3.566,1.729,4.071,4.632,3.666,6.073,7.49,7.852,2.396,3.159,3.826,4.093,12.825,11.846,12.153,12.37,14.649,16.476,12.387,9.278,8.797,15.877,19.004,24.3,23.775,31.679,28.737,25.566,11.051,7.681,13.493,7.468,61.511,36.17,21.742,22.804
